Shipment_ID,Order_ID,Customer_Name,Source_City,Destination_City,Shipment_Date,Delivery_Date,Transport_Mode,Weight_Kg,Distance_Km,Vendor,Cost,Selling_Price,Delivery_Status,Damage_Flag,Delivery_Time_Days,Return_Reason,Driver_Rating ,Vehicle_Type,Fuel_Consumption_Litres
10058,8073,Unknown,Bangalore,Kolkata,03-04-2022,26-01-2021,Sea,5,300,Gati,800,300,In Transit,1,7,Late,3,Container,25
10059,6021,John,Delhi,Unknown,10-05-2023,10-08-2021,Sea,20,300,Gati,800,700,Cancelled,1,9,Unknown,3,Truck,10
10060,8843,Unknown,Mumbai,Bangalore,24-03-2022,12-02-2021,Unknown,30,150,DHL,800,1600,Cancelled,1,4,Damaged,3,Mini Van,25
10061,12989,Unknown,Pune,Bangalore,09-06-2022,02-04-2023,Road,20,150,ABC Logistics,1000,700,In Transit,1,9,Unknown,2,Container,25
10062,14692,John,Delhi,Pune,22-08-2022,17-10-2021,Rail,20,400,DHL,500,700,Unknown,1,7,Damaged,4,Truck,15
10063,11873,Ram,Coimbatore,Delhi,21-02-2021,06-02-2021,Rail,10,100,FedEx,800,1200,Unknown,1,4,Unknown,1,Bike,25
10064,10675,Vikram,Mumbai,Delhi,13-08-2021,02-12-2022,Unknown,15,150,ABC Logistics,800,300,Returned,1,3,Unknown,4,Container,20
10065,5161,Unknown,Kolkata,Coimbatore,17-07-2021,29-01-2023,Rail,25,150,Gati,500,300,Delivered,1,6,Unknown,5,Unknown,15
10066,9297,John,Mumbai,Pune,14-12-2022,19-12-2021,Rail,20,300,BlueDart,200,700,In Transit,1,3,Wrong Item,4,Unknown,30
10067,5995,Ram,Bangalore,Unknown,21-01-2023,11-08-2022,Sea,15,300,FedEx,800,1200,Delivered,1,7,Unknown,2,Container,25
10068,12629,Aisha,Chennai,Mumbai,01-04-2023,11-09-2022,Sea,20,200,DHL,1500,1200,Unknown,1,1,Unknown,3,Container,30
10069,14467,John,Chennai,Unknown,14-03-2022,23-12-2022,Road,25,150,Unknown,1500,300,In Transit,1,7,Unknown,2,Unknown,20
10070,6016,Unknown,Coimbatore,Mumbai,26-02-2022,26-03-2021,Rail,30,300,Unknown,800,2000,Delayed,1,3,Damaged,3,Bike,20
10071,12869,Unknown,Mumbai,Bangalore,16-06-2021,24-05-2021,Air,30,100,Unknown,500,1200,Returned,1,9,Unknown,4,Bike,20
10072,11439,Unknown,Delhi,Hyderabad,28-05-2021,27-06-2022,Rail,20,50,Gati,800,1200,Delayed,1,6,Unknown,4,Bike,20
10073,12892,Unknown,Coimbatore,Chennai,30-05-2022,10-12-2021,Rail,20,150,Unknown,1500,1200,Unknown,1,7,Late,1,Mini Van,30
10074,11863,Unknown,Pune,Chennai,28-06-2021,27-10-2022,Road,20,50,ABC Logistics,800,300,Unknown,1,9,Damaged,3,Unknown,30
10075,12916,Unknown,Coimbatore,Pune,08-06-2023,03-03-2022,Air,10,150,Unknown,1500,1200,In Transit,1,6,Damaged,2,Unknown,10
10076,13529,Vikram,Coimbatore,Delhi,06-10-2021,05-05-2021,Rail,20,50,ABC Logistics,800,1200,Unknown,1,10,Late,4,Mini Van,15
10077,5878,John,Kolkata,Hyderabad,17-04-2021,24-07-2022,Unknown,20,200,BlueDart,200,1600,In Transit,1,6,Damaged,3,Bike,20
10078,14268,Aisha,Unknown,Pune,19-09-2021,08-12-2022,Unknown,30,200,Gati,1500,300,Delivered,1,2,Wrong Item,1,Unknown,25
10079,9887,John,Bangalore,Bangalore,15-12-2022,13-12-2022,Air,20,100,Gati,1500,1200,In Transit,1,6,Unknown,1,Mini Van,15
10080,9859,Vikram,Kolkata,Hyderabad,29-07-2021,27-05-2023,Unknown,20,400,FedEx,800,1200,Unknown,1,6,Wrong Item,3,Truck,20
10081,11331,Ram,Chennai,Chennai,24-02-2023,15-12-2021,Sea,20,150,FedEx,1500,2000,Delivered,1,2,Unknown,1,Unknown,25
10082,13571,Vikram,Chennai,Coimbatore,07-01-2021,01-01-2022,Sea,20,150,Unknown,500,1200,Delivered,1,7,Unknown,1,Mini Van,10
10083,13684,Unknown,Hyderabad,Bangalore,01-06-2022,28-04-2021,Air,5,150,ABC Logistics,1500,700,In Transit,1,6,Damaged,3,Unknown,15
10084,12208,Unknown,Hyderabad,Pune,09-08-2021,17-11-2022,Rail,20,50,Unknown,500,300,Delivered,1,9,Damaged,3,Unknown,20
10085,10276,Ram,Delhi,Unknown,16-03-2022,15-06-2023,Air,15,300,Unknown,1500,1600,Unknown,1,10,Wrong Item,4,Container,25
10086,7062,Unknown,Chennai,Kolkata,10-02-2023,15-10-2022,Unknown,25,300,DHL,500,2000,Unknown,1,4,Unknown,5,Unknown,20
10087,5064,Unknown,Unknown,Bangalore,05-11-2022,16-07-2022,Air,20,400,ABC Logistics,1500,1200,Returned,1,6,Unknown,3,Bike,25
10088,13006,Sita,Kolkata,Bangalore,29-12-2021,01-06-2021,Unknown,30,150,Unknown,800,700,Delayed,1,5,Wrong Item,3,Unknown,20
10089,7568,Vikram,Pune,Unknown,30-11-2021,29-01-2022,Sea,20,300,FedEx,800,700,In Transit,1,6,Wrong Item,5,Mini Van,30
10090,10463,Vikram,Unknown,Unknown,22-03-2022,27-03-2022,Air,20,400,FedEx,800,700,Delivered,1,1,Unknown,5,Mini Van,20
10091,7027,Aisha,Hyderabad,Coimbatore,30-03-2022,22-05-2022,Unknown,20,20,FedEx,500,2000,Delivered,1,8,Late,4,Mini Van,15
10092,7695,John,Mumbai,Unknown,16-06-2022,19-02-2023,Unknown,30,150,ABC Logistics,1500,300,Unknown,1,6,Unknown,1,Unknown,20
10093,14687,Ram,Unknown,Mumbai,11-08-2021,28-11-2021,Unknown,20,20,Gati,800,300,Delivered,1,9,Unknown,1,Bike,25
10094,10258,Unknown,Unknown,Mumbai,09-01-2023,02-10-2022,Sea,25,100,Unknown,200,1200,Delivered,1,1,Late,4,Unknown,30
10095,10618,Unknown,Unknown,Bangalore,31-05-2021,20-10-2021,Rail,20,150,DHL,800,1200,Returned,1,4,Wrong Item,4,Bike,10
10096,11736,Ram,Unknown,Unknown,21-04-2022,27-02-2022,Unknown,20,50,DHL,800,300,Unknown,1,6,Late,3,Container,25
10097,5391,Aisha,Unknown,Chennai,06-06-2023,13-02-2023,Rail,20,100,FedEx,800,1200,In Transit,1,10,Late,2,Truck,25
10098,10892,Aisha,Hyderabad,Unknown,04-05-2021,02-09-2022,Sea,20,200,BlueDart,800,1200,In Transit,1,1,Unknown,1,Bike,20
10099,8561,Unknown,Chennai,Mumbai,26-12-2021,03-09-2021,Rail,20,200,ABC Logistics,800,1200,Unknown,1,3,Unknown,3,Unknown,10
10100,11184,Unknown,Coimbatore,Unknown,29-09-2022,09-01-2023,Unknown,30,200,Unknown,800,300,Returned,1,7,Wrong Item,2,Unknown,10
10101,8099,John,Unknown,Unknown,01-02-2022,04-05-2023,Road,15,400,Unknown,800,700,Returned,1,8,Unknown,5,Mini Van,20
10102,11278,Unknown,Unknown,Coimbatore,22-11-2021,19-06-2021,Unknown,20,400,Unknown,800,1200,Returned,1,8,Unknown,3,Container,20
10103,13392,Unknown,Bangalore,Bangalore,25-03-2023,30-11-2021,Unknown,20,150,Gati,200,700,In Transit,1,5,Unknown,3,Unknown,25
10104,8104,Unknown,Chennai,Coimbatore,02-05-2023,20-06-2023,Unknown,25,150,FedEx,800,1200,Unknown,1,1,Unknown,3,Bike,20
10105,12215,Unknown,Coimbatore,Chennai,25-01-2023,24-03-2023,Road,20,200,BlueDart,800,1200,Cancelled,1,1,Wrong Item,1,Bike,10
10106,7454,John,Pune,Chennai,09-04-2022,21-03-2021,Road,5,400,FedEx,200,1200,Unknown,1,8,Late,4,Truck,30
10107,13996,Vikram,Pune,Mumbai,08-05-2023,30-06-2021,Road,15,150,BlueDart,800,1200,Unknown,1,5,Wrong Item,4,Truck,10
10108,7731,Unknown,Mumbai,Pune,15-02-2022,09-12-2021,Unknown,10,400,DHL,1500,300,Delayed,1,6,Unknown,3,Truck,25
10109,13154,Sita,Unknown,Unknown,28-08-2021,16-03-2023,Sea,20,300,BlueDart,200,1600,Returned,1,9,Unknown,4,Bike,25
10110,14762,Unknown,Kolkata,Delhi,06-02-2023,27-08-2022,Road,20,400,DHL,800,2000,Returned,1,1,Unknown,1,Unknown,15
10111,10056,John,Bangalore,Bangalore,13-06-2021,22-05-2022,Air,25,200,DHL,800,1600,In Transit,1,2,Unknown,3,Bike,30
10112,13110,Aisha,Chennai,Pune,29-09-2022,05-11-2022,Rail,25,100,ABC Logistics,800,1200,Unknown,1,4,Unknown,3,Mini Van,15
10113,8840,Unknown,Chennai,Bangalore,11-03-2023,21-08-2022,Sea,20,200,Unknown,800,1600,Unknown,1,10,Late,4,Unknown,10
10114,6028,John,Unknown,Unknown,11-02-2023,19-11-2022,Air,5,150,BlueDart,800,1200,In Transit,1,6,Wrong Item,3,Truck,15
10115,12385,Ram,Mumbai,Unknown,07-09-2021,12-04-2021,Unknown,5,150,Gati,1000,1200,Unknown,1,7,Late,1,Mini Van,25
10116,5502,Unknown,Delhi,Hyderabad,06-12-2022,11-07-2021,Unknown,30,150,Gati,1500,700,Delayed,1,4,Late,5,Mini Van,20
10117,11910,Sita,Hyderabad,Coimbatore,16-07-2021,09-06-2023,Air,20,300,BlueDart,500,1200,Delivered,1,8,Wrong Item,2,Unknown,20
10118,14062,Vikram,Mumbai,Mumbai,02-12-2022,12-06-2021,Unknown,20,200,Unknown,800,700,In Transit,1,7,Unknown,1,Container,10
10119,11938,Unknown,Coimbatore,Hyderabad,05-03-2023,08-04-2021,Unknown,15,50,ABC Logistics,800,1200,Unknown,1,5,Wrong Item,1,Mini Van,25
10120,9488,Ram,Mumbai,Chennai,28-01-2022,16-01-2023,Air,20,300,Gati,800,300,Unknown,1,7,Unknown,3,Truck,10
10121,5206,Ram,Unknown,Delhi,06-11-2021,24-12-2022,Unknown,15,150,FedEx,800,1200,Delayed,1,8,Unknown,4,Unknown,15
10122,10134,Sita,Unknown,Mumbai,06-07-2022,12-11-2021,Rail,20,200,Gati,800,1200,Unknown,1,3,Damaged,3,Mini Van,15
10123,10977,Vikram,Kolkata,Chennai,17-07-2021,01-06-2022,Rail,10,400,ABC Logistics,800,2000,In Transit,1,3,Damaged,2,Bike,20
10124,12721,Aisha,Bangalore,Unknown,16-01-2021,23-11-2022,Unknown,20,100,DHL,800,700,In Transit,1,2,Damaged,2,Bike,10
10125,12035,Unknown,Unknown,Coimbatore,28-11-2021,19-05-2022,Unknown,5,200,DHL,800,1200,In Transit,1,4,Unknown,4,Mini Van,20
10126,6484,Unknown,Pune,Coimbatore,14-02-2021,16-06-2021,Road,25,100,DHL,800,2000,Cancelled,1,6,Unknown,3,Truck,10
10127,12858,Vikram,Unknown,Coimbatore,04-08-2022,15-07-2021,Air,10,150,ABC Logistics,800,300,Unknown,1,4,Unknown,1,Unknown,15
10128,5863,Unknown,Kolkata,Hyderabad,05-05-2021,16-05-2023,Rail,5,150,DHL,200,1200,Cancelled,1,4,Unknown,4,Unknown,10
10129,7790,John,Hyderabad,Kolkata,02-01-2021,20-04-2022,Unknown,5,50,Unknown,800,1200,Returned,1,2,Wrong Item,3,Unknown,20
10130,12408,Ram,Pune,Pune,25-03-2021,17-04-2022,Unknown,10,150,DHL,800,2000,Cancelled,1,7,Unknown,3,Unknown,15
10131,13755,John,Delhi,Unknown,03-12-2021,10-05-2021,Rail,25,400,ABC Logistics,500,1200,Delayed,1,10,Wrong Item,3,Truck,20
10132,10116,Aisha,Chennai,Delhi,18-01-2021,11-08-2022,Rail,20,300,FedEx,1500,1200,In Transit,1,3,Unknown,4,Bike,10
10133,11019,John,Hyderabad,Unknown,02-04-2021,13-04-2023,Road,30,20,Gati,800,700,Cancelled,1,6,Wrong Item,5,Bike,20
10134,6757,Vikram,Delhi,Kolkata,25-09-2021,27-01-2022,Unknown,20,20,ABC Logistics,800,700,Unknown,1,10,Damaged,3,Unknown,20
10135,12574,John,Pune,Unknown,13-08-2022,13-01-2023,Unknown,15,300,ABC Logistics,800,1600,In Transit,1,1,Wrong Item,3,Unknown,10
10136,11374,Aisha,Hyderabad,Unknown,06-05-2022,06-04-2023,Sea,20,150,BlueDart,500,1600,Delivered,1,2,Wrong Item,3,Container,10
10137,11892,Aisha,Kolkata,Unknown,03-08-2022,16-05-2022,Unknown,15,50,DHL,1000,1200,Returned,1,5,Wrong Item,3,Mini Van,20
10138,6678,Aisha,Delhi,Mumbai,12-04-2022,03-12-2021,Road,5,50,Unknown,800,1600,Cancelled,1,9,Unknown,2,Unknown,25
10139,8242,Vikram,Chennai,Chennai,14-06-2021,20-12-2021,Rail,20,150,FedEx,800,1200,Unknown,1,4,Late,1,Mini Van,20
10140,9636,Aisha,Unknown,Chennai,29-05-2022,24-10-2022,Rail,25,200,Unknown,200,1200,Unknown,1,6,Late,4,Unknown,15
10141,6059,Ram,Kolkata,Unknown,21-08-2022,27-04-2023,Air,25,50,BlueDart,800,1200,Unknown,1,3,Unknown,3,Bike,15
10142,11668,Unknown,Coimbatore,Delhi,23-02-2022,06-12-2022,Unknown,25,200,FedEx,500,2000,In Transit,1,9,Late,3,Mini Van,30
10143,14914,Aisha,Chennai,Hyderabad,10-09-2022,29-12-2022,Rail,20,100,DHL,800,700,Delivered,1,2,Unknown,3,Truck,20
10144,8157,John,Bangalore,Delhi,03-02-2023,06-01-2022,Unknown,20,150,Unknown,800,300,Returned,1,8,Unknown,3,Unknown,20
10145,10915,Unknown,Mumbai,Delhi,05-09-2022,08-03-2023,Rail,20,100,DHL,800,1200,Returned,1,6,Damaged,4,Unknown,10
10146,14789,John,Bangalore,Chennai,07-02-2021,10-02-2021,Unknown,20,20,DHL,500,700,Delivered,1,3,Late,1,Container,25
10147,7693,Unknown,Unknown,Coimbatore,23-08-2021,16-05-2023,Unknown,5,100,Gati,800,1600,Cancelled,1,8,Late,3,Truck,20
10148,8627,John,Unknown,Delhi,30-12-2022,13-01-2021,Road,25,100,FedEx,500,1200,Cancelled,1,3,Unknown,3,Truck,15
10149,14555,Vikram,Coimbatore,Delhi,11-11-2022,08-06-2023,Rail,25,100,FedEx,500,1600,In Transit,1,6,Unknown,1,Truck,20
10150,10450,John,Coimbatore,Unknown,14-07-2021,08-01-2022,Road,25,300,BlueDart,800,2000,Delayed,1,6,Unknown,3,Mini Van,20
10151,6663,Vikram,Mumbai,Coimbatore,21-03-2022,26-10-2021,Unknown,20,50,ABC Logistics,800,1600,In Transit,1,6,Unknown,3,Unknown,15
10152,14721,Vikram,Delhi,Chennai,02-11-2021,06-11-2021,Unknown,20,150,DHL,800,2000,In Transit,1,4,Damaged,3,Container,20
10153,10592,Aisha,Mumbai,Hyderabad,10-02-2021,10-02-2022,Unknown,15,20,DHL,800,300,Unknown,1,8,Wrong Item,2,Bike,25
10154,12392,Ram,Unknown,Pune,20-08-2021,19-01-2023,Rail,20,20,Unknown,800,1200,In Transit,1,10,Wrong Item,1,Truck,20
10155,6306,Unknown,Bangalore,Chennai,01-12-2021,10-12-2022,Unknown,20,150,BlueDart,1500,1600,Unknown,1,4,Unknown,5,Truck,25
10156,11776,Aisha,Coimbatore,Chennai,12-03-2021,05-11-2021,Unknown,15,20,FedEx,200,2000,Delivered,1,6,Unknown,2,Truck,20
10157,10864,Aisha,Bangalore,Delhi,09-11-2021,23-02-2023,Rail,10,20,Gati,1500,1600,Returned,1,9,Damaged,3,Bike,20
10158,14474,Unknown,Chennai,Unknown,06-01-2022,21-07-2021,Road,20,400,FedEx,200,2000,Returned,1,9,Damaged,1,Unknown,20
10159,12526,Vikram,Unknown,Kolkata,16-12-2022,27-05-2023,Road,10,100,Gati,200,1200,Delayed,1,6,Unknown,3,Mini Van,20
10160,13901,Vikram,Hyderabad,Unknown,23-11-2021,15-06-2022,Unknown,20,20,Gati,1500,1200,Cancelled,1,1,Wrong Item,2,Mini Van,25
10161,10575,Unknown,Unknown,Bangalore,17-01-2021,23-06-2022,Unknown,25,150,FedEx,800,1200,In Transit,1,9,Unknown,3,Unknown,25
10162,10530,John,Hyderabad,Unknown,25-02-2021,28-04-2021,Rail,10,150,Unknown,800,700,Delivered,1,9,Late,5,Mini Van,10
10163,9413,John,Unknown,Kolkata,20-03-2021,04-04-2023,Rail,20,200,DHL,800,2000,Delivered,1,7,Unknown,3,Mini Van,20
10164,8748,Unknown,Pune,Delhi,28-03-2022,27-09-2021,Sea,5,150,Gati,500,1200,In Transit,1,9,Unknown,5,Container,20
10165,5663,Aisha,Unknown,Delhi,29-09-2021,04-11-2022,Sea,15,150,Unknown,800,300,Delivered,1,8,Damaged,1,Container,30
10166,6998,Unknown,Chennai,Hyderabad,21-11-2021,18-09-2021,Air,20,100,BlueDart,1000,700,Delivered,1,9,Wrong Item,5,Mini Van,30
10167,12994,Sita,Unknown,Kolkata,20-06-2021,16-08-2022,Unknown,5,150,BlueDart,1500,300,Unknown,1,9,Wrong Item,3,Container,15
10168,6495,Sita,Delhi,Mumbai,17-06-2022,05-08-2021,Unknown,10,50,Gati,1500,700,In Transit,1,7,Unknown,3,Unknown,25
10169,8304,Unknown,Unknown,Unknown,04-07-2022,18-05-2022,Air,15,100,DHL,800,1600,Delayed,1,6,Unknown,4,Unknown,10
10170,8763,John,Hyderabad,Bangalore,15-06-2023,06-10-2021,Air,10,300,Gati,800,2000,Delivered,1,2,Unknown,3,Mini Van,25
10171,10232,Sita,Unknown,Hyderabad,12-01-2022,17-05-2021,Road,10,20,BlueDart,500,1600,Returned,1,7,Damaged,2,Container,15
10172,6853,Unknown,Delhi,Unknown,17-04-2021,20-07-2022,Unknown,30,150,Unknown,800,300,Unknown,1,1,Unknown,3,Bike,25
10173,11585,John,Unknown,Unknown,28-01-2023,24-05-2022,Road,20,50,BlueDart,800,1200,Returned,1,6,Unknown,5,Container,30
10174,6291,Vikram,Unknown,Kolkata,15-10-2022,28-06-2021,Sea,30,150,FedEx,1500,300,Unknown,1,6,Late,2,Container,20
10175,8581,Aisha,Kolkata,Unknown,17-02-2022,08-04-2022,Air,30,300,Unknown,1000,700,Unknown,1,6,Wrong Item,2,Bike,25
10176,12554,Ram,Unknown,Unknown,02-01-2022,23-12-2021,Sea,20,400,DHL,500,300,Unknown,1,7,Unknown,3,Unknown,20
10177,12280,Aisha,Pune,Unknown,31-01-2023,31-05-2023,Unknown,20,20,FedEx,1500,2000,Unknown,1,2,Damaged,3,Bike,30
10178,6636,Unknown,Pune,Mumbai,29-10-2022,10-08-2022,Unknown,20,50,Unknown,800,300,Returned,1,6,Late,4,Unknown,30
10179,8696,John,Coimbatore,Delhi,25-09-2022,06-05-2022,Unknown,30,400,Unknown,800,1600,In Transit,1,4,Unknown,3,Unknown,15
